INFO 2024-06-15 11:42:04,061 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-15 11:42:04,062 autoreload Waiting for apps ready_event.
DEBUG 2024-06-15 11:42:06,305 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-15 11:42:06,315 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-06-15 11:42:06,315 autoreload Watching dir /reactDjangoApp/locale with glob **/*.mo.
DEBUG 2024-06-15 11:42:06,316 autoreload Watching dir /usr/local/lib/python3.9/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-06-15 11:42:06,317 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-06-15 11:42:06,317 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2024-06-15 11:42:06,317 autoreload Watching dir /reactDjangoApp/back/locale with glob **/*.mo.
DEBUG 2024-06-15 11:42:06,412 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/termcolors.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,413 autoreload File /usr/local/lib/python3.9/site-packages/django/views/defaults.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,413 autoreload File /usr/local/lib/python3.9/site-packages/django/db/models/functions/mixins.py first seen with mtime 1718451612.0293782
DEBUG 2024-06-15 11:42:06,414 autoreload File /usr/local/lib/python3.9/site-packages/sqlparse/filters/output.py first seen with mtime 1718451610.9093692
DEBUG 2024-06-15 11:42:06,414 autoreload File /usr/local/lib/python3.9/site-packages/selenium/webdriver/remote/remote_connection.py first seen with mtime 1718451612.979379
DEBUG 2024-06-15 11:42:06,414 autoreload File /usr/local/lib/python3.9/site-packages/rest_framework/request.py first seen with mtime 1718451612.7293787
DEBUG 2024-06-15 11:42:06,414 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1718451611.889378
DEBUG 2024-06-15 11:42:06,415 autoreload File /usr/local/lib/python3.9/lib-dynload/_blake2.cpython-39-x86_64-linux-gnu.so first seen with mtime 1686672461.0
DEBUG 2024-06-15 11:42:06,415 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/deprecation.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,415 autoreload File /usr/local/lib/python3.9/site-packages/certifi/__init__.py first seen with mtime 1718451611.0993726
DEBUG 2024-06-15 11:42:06,415 autoreload File /usr/local/lib/python3.9/dis.py first seen with mtime 1686672468.0
DEBUG 2024-06-15 11:42:06,415 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admin/filters.py first seen with mtime 1718451611.559378
DEBUG 2024-06-15 11:42:06,416 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1718451611.9993782
DEBUG 2024-06-15 11:42:06,416 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/ipv6.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,416 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/itercompat.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,416 autoreload File /usr/local/lib/python3.9/site-packages/soupsieve/css_parser.py first seen with mtime 1718451610.9393697
DEBUG 2024-06-15 11:42:06,417 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1718451611.659378
DEBUG 2024-06-15 11:42:06,417 autoreload File /usr/local/lib/python3.9/site-packages/django/core/checks/security/__init__.py first seen with mtime 1718451612.0093782
DEBUG 2024-06-15 11:42:06,417 autoreload File /usr/local/lib/python3.9/site-packages/selenium/webdriver/common/actions/pointer_actions.py first seen with mtime 1718451612.8593788
DEBUG 2024-06-15 11:42:06,417 autoreload File /usr/local/lib/python3.9/hmac.py first seen with mtime 1686672468.0
DEBUG 2024-06-15 11:42:06,417 autoreload File /usr/local/lib/python3.9/lib-dynload/_struct.cpython-39-x86_64-linux-gnu.so first seen with mtime 1686672456.0
DEBUG 2024-06-15 11:42:06,418 autoreload File /usr/local/lib/python3.9/lib-dynload/select.cpython-39-x86_64-linux-gnu.so first seen with mtime 1686672457.0
DEBUG 2024-06-15 11:42:06,418 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1718451611.659378
DEBUG 2024-06-15 11:42:06,419 autoreload File /usr/local/lib/python3.9/site-packages/django/core/wsgi.py first seen with mtime 1718451611.9993782
DEBUG 2024-06-15 11:42:06,419 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/dates.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,419 autoreload File /usr/local/lib/python3.9/pathlib.py first seen with mtime 1686672468.0
DEBUG 2024-06-15 11:42:06,420 autoreload File /usr/local/lib/python3.9/site-packages/selenium/webdriver/common/actions/input_device.py first seen with mtime 1718451612.8593788
DEBUG 2024-06-15 11:42:06,420 autoreload File /usr/local/lib/python3.9/pprint.py first seen with mtime 1686672468.0
DEBUG 2024-06-15 11:42:06,421 autoreload File /usr/local/lib/python3.9/site-packages/requests/hooks.py first seen with mtime 1718451611.1793742
DEBUG 2024-06-15 11:42:06,421 autoreload File /usr/local/lib/python3.9/site-packages/asgiref/current_thread_executor.py first seen with mtime 1718451611.2693758
DEBUG 2024-06-15 11:42:06,421 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/translation/reloader.py first seen with mtime 1718451612.0493782
DEBUG 2024-06-15 11:42:06,421 autoreload File /usr/local/lib/python3.9/__future__.py first seen with mtime 1686672468.0
DEBUG 2024-06-15 11:42:06,422 autoreload File /usr/local/lib/python3.9/site-packages/rest_framework/exceptions.py first seen with mtime 1718451612.7293787
